pid,product_name,start_date,end_date,quantity_to_order,on_order_late, on_order_current,committed,sold,expected_on_hand,on_hand,trend_last9mo
179097,JZ76L Medium Caramel 5.5L,2018-12-04,2018-12-11,0,22.000,0,0,2.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-12-11,2018-12-18,0,22.000,0,0,1.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-12-18,2018-12-25,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2018-12-25,2019-01-01,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-01-01,2019-01-08,0,22.000,0,0,2.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-01-08,2019-01-15,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-01-15,2019-01-22,0,22.000,0,0,3.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-01-22,2019-01-29,0,22.000,0,0,6.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-01-29,2019-02-05,0,22.000,0,0,15.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-02-05,2019-02-12,0,22.000,0,0,0,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-02-12,2019-02-19,0,22.000,0,0,1.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-02-19,2019-02-26,0,22.000,0,0,2.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-02-26,2019-03-05,0,22.000,0,0,21.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-03-05,2019-03-12,0,22.000,0,0,41.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-03-12,2019-03-19,0,22.000,0,0,14.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-03-19,2019-03-26,0,22.000,0,0,2.000,58.000,50.000,80.22
179097,JZ76L Medium Caramel 5.5L,2019-03-26,2019-04-02,0,22.000,0,0,5.000,58.000,50.000,80.22
179100,JZ76L Medium Caramel 6.0L,2018-06-26,2018-07-03,-74.000,11.000,0,8.000,5.000,82.000,81.000,93.98
179100,JZ76L Medium Caramel 6.0L,2018-07-03,2018-07-10,0,11.000,0,0,2.000,74.000,81.000,93.98
179100,JZ76L Medium Caramel 6.0L,2018-07-10,2018-07-17,0,11.000,0,0,2.000,74.000,81.000,93.98
179100,JZ76L Medium Caramel 6.0L,2018-07-17,2018-07-24,0,11.000,0,0,2.000,74.000,81.000,93.98
179100,JZ76L Medium Caramel 6.0L,2018-07-24,2018-07-31,0,11.000,0,0,7.000,74.000,81.000,93.98
